title,year,gross
Star Wars: Episode VII - The Force Awakens,2015,2068223624
Jurassic World,2015,1670400637
Furious 7,2015,1515047671
Avengers: Age of Ultron,2015,1402805868
Minions,2015,1159398397
Spectre,2015,880674609
Inside Out,2015,857611174
Mission: Impossible - Rogue Nation,2015,682714267
The Hunger Games: Mockingjay - Part 2,2015,653428261
The Martian,2015,630161890
Fifty Shades of Grey,2015,569651467
Cinderella,2015,542351353
The Revenant,2015,532950503
Ant-Man,2015,519311965
Hotel Transylvania 2,2015,474800000
San Andreas,2015,474590832
Terminator Genisys,2015,440603537
Kingsman: The Secret Service,2015,414351546
Monster Hunt,2015,387053506
Home,2015,386041607
Mad Max: Fury Road,2015,379436354
The Good Dinosaur,2015,332207671
Taken 3,2015,326479141
The SpongeBob Movie: Sponge Out of Water,2015,325186032
Maze Runner: The Scorch Trials,2015,312296056
The Divergent Series: Insurgent,2015,297002527
Pitch Perfect 2,2015,287144079
Mojin: The Lost Legend,2015,259368448
Lost in Hong Kong,2015,256283912
The Peanuts Movie,2015,246233113
Pixels,2015,244874809
Daddy's Home,2015,242786137
Spy,2015,235666219
Alvin and the Chipmunks: The Road Chip,2015,234798636
Goodbye Mr. Loser,2015,228122928
Ted 2,2015,215863606
Tomorrowland,2015,209035668
Everest,2015,203427584
Straight Outta Compton,2015,201634991
The Intern,2015,194764672
Jian Bing Man,2015,186683536
Jupiter Ascending,2015,184287723
Creed,2015,174167581
Fantastic Four,2015,167882881
Bridge of Spies,2015,165478348
From Vegas to Macau II,2015,163877532
Focus,2015,159162963
Goosebumps,2015,158260952
Ip Man 3,2015,156954938
The Hateful Eight,2015,155760117
Monkey King: Hero Is Back,2015,153262397
Gods of Egypt,2015,150680864
The Last Witch Hunter,2015,146936910
Trainwreck,2015,140795793
Mr. Six,2015,139191345
Point Break,2015,133782481
The Big Short,2015,133440870
Pan,2015,128988320
Detective Chinatown,2015,125842935
Wolf Totem,2015,125837070
Ride Along 2,2015,124605297
Magic Mike XXL,2015,122613057
Dragon Blade,2015,122593849
Insidious: Chapter 3,2015,112983889
Get Hard,2015,111811453
The Man from U.N.C.L.E.,2015,110045109
The 5th Wave,2015,109906372
Paul Blart: Mall Cop 2,2015,107588225
Vacation,2015,107228221
Chronicles of the Ghostly Tribe,2015,106380000
Shaun the Sheep Movie,2015,106209378
Sisters,2015,105011053
Chappie,2015,102811889
Joy,2015,101134059
Black Mass,2015,99975678
Spotlight,2015,98690254
Devil and Angel,2015,98599942
The Visit,2015,98450062
The Little Prince,2015,97571250
Assassination,2015,96119773
Poltergeist,2015,95437994
Veteran,2015,94393020
In the Heart of the Sea,2015,94320758
Kill Zone 2,2015,93638358
Southpaw,2015,91970827
The Second Best Exotic Marigold Hotel,2015,85978266
Paper Towns,2015,85512300
Sicario,2015,84872444
Our Times,2015,83867493
Suck Me Shakespeer 2,2015,83027924
Hitman: Agent 47,2015,82347656
Wolf Warrior,2015,81411331
Go Away Mr. Tumor,2015,80606893
The Wedding Ringer,2015,79799880
Paranormal Activity: The Ghost Dimension,2015,78903124
The Left Ear,2015,78015473
Tiny Times 4.0,2015,77750000
Bajrangi Bhaijaan,2015,75547184
War Room,2015,73267874
The Transporter Refueled,2015,72629670
Run All Night,2015,71661644
13 Hours: The Secret Soldiers of Benghazi,2015,69411370
Running Man,2015,68782475
A Violent Prosecutor,2015,66736633
The Age of Adaline,2015,65663276
Monk Comes Down the Mountain,2015,64455686
Zhongkui: Snow Girl and the Dark Crystal,2015,64325947
The Danish Girl,2015,64191523
The Boy,2015,64188367
The Hundred Regiments Offensive,2015,63230000
The Longest Ride,2015,62944815
Unfriended,2015,62882090
Brooklyn,2015,62076141
Dragon Ball Z: Resurrection 'F',2015,61768190
Woman in Gold,2015,61619773
Krampus,2015,61548707
The Perfect Guy,2015,60273173
Forever Young,2015,59981902
Miss Granny,2015,59396311
The Gift,2015,58978653
You Are My Sunshine,2015,56640000
No Escape,2015,54418872
Sinister 2,2015,53329150
Detective Conan: Sunflowers of Inferno,2015,52920296
Prem Ratan Dhan Payo,2015,52715771
The Boy Next Door,2015,52425855
The Night Before,2015,52395996
Hollywood Adventures,2015,52265070
"Yo-kai Watch Movie: It's the Secret of Birth, Meow!",2015,51838845
Hot Pursuit,2015,51680201
The Himalayas,2015,50544493
The Boy and the Beast,2015,49714378
Surprise,2015,49567466
Entourage,2015,49263404
The Woman in Black 2: Angel of Death,2015,48854305
Concussion,2015,48623572
Inside Men,2015,47616503
The Dead End,2015,47600000
Boonie Bears: A Mystical Winter,2015,47581416
Mortdecai,2015,47275695
Let's Get Married,2015,45972724
Somewhere Only We Know,2015,45737711
"McFarland, USA",2015,45710059
Hero,2015,45565534
Still Alice,2015,44779195
Max,2015,43956255
The DUFF,2015,43709744
Legend,2015,42972994
The Gallows,2015,42964410
Love the Coopers,2015,42426912
The Throne,2015,42165755
The Lady in the Van,2015,41387687
Ricki and the Flash,2015,41325328
Spanish Affair 2,2015,40591862
Carol,2015,40272135
Northern Limit Line,2015,40034677
Ex-Files 2: The Backup Strikes Back,2015,39108291
Criminal,2015,38803993
Boruto: Naruto the Movie,2015,38362448
The Lazarus Effect,2015,38356892
Helios,2015,37938005
A Walk in the Woods,2015,37461274
Ex Machina,2015,36869414
Burnt,2015,36606743
The Priests,2015,36577134
The New Adventures of Aladdin,2015,35771820
Heidi,2015,35755670
Room,2015,35401758
Lost and Love,2015,34930177
Secret in Their Eyes,2015,34854990
"Dad, Where Are We Going 2",2015,34840000
Doraemon: Nobita no uchuu eiyuuki,2015,34811747
Steve Jobs,2015,34441873
Victor Frankenstein,2015,34227298
The Witness,2015,33963557
Project Almanac,2015,33213241
Dilwale,2015,31994323
Suffragette,2015,31972096
Self/less,2015,31807156
Saving Mr. Wu,2015,31222161
Attack on Titan Part 1,2015,30810658
A Man Called Ove,2015,30692889
Far from the Madding Crowd,2015,30229977
Mr. Holmes,2015,29355203
Love & Mercy,2015,28641776
Flying Colors,2015,28525563
Triumph in the Skies,2015,28085162
The 33,2015,27972023
Bride Wars,2015,27670000
Irrational Man,2015,27391084
Detective K: Secret of the Lost Island,2015,27387870
To the Fore,2015,27267799
American Ultra,2015,27262374
Orange,2015,26261536
Aloha,2015,26250020
Huevos: Little Rooster's Egg-cellent Adventure,2015,25892561
Dügün Dernek 2: Sünnet,2015,25836668
Look Who's Back,2015,25513752
Serial Teachers 2,2015,25364150
Wild City,2015,24817852
Captain America: Civil War,2016,1153296293
Rogue One: A Star Wars Story,2016,1056057273
Finding Dory,2016,1028570889
Zootopia,2016,1023784195
The Jungle Book,2016,966550600
The Secret Life of Pets,2016,875697467
Batman v Superman: Dawn of Justice,2016,874360194
Fantastic Beasts and Where to Find Them,2016,816037575
Deadpool,2016,782612155
Suicide Squad,2016,749200054
Doctor Strange,2016,677718395
Moana,2016,643331111
Sing,2016,634151679
The Mermaid,2016,553810228
X-Men: Apocalypse,2016,543934105
Kung Fu Panda 3,2016,521170825
La La Land,2016,447407695
Warcraft,2016,439048914
Jason Bourne,2016,415484914
Ice Age: Collision Course,2016,408579038
Independence Day: Resurgence,2016,389681935
Your Name.,2016,357986087
The Legend of Tarzan,2016,357243061
The Angry Birds Movie,2016,352333929
Trolls,2016,347013487
Star Trek Beyond,2016,343471816
The Great Wall,2016,334933831
Now You See Me 2,2016,334897606
The Conjuring 2,2016,321370008
Resident Evil: The Final Chapter,2016,312242626
Dangal,2016,303723636
Passengers,2016,303144152
Alice Through the Looking Glass,2016,299457024
Miss Peregrine's Home for Peculiar Children,2016,296482446
Teenage Mutant Ninja Turtles: Out of the Shadows,2016,245623848
Sully,2016,243870033
Assassin's Creed,2016,240697856
Hidden Figures,2016,235956898
Ghostbusters,2016,229147509
Inferno,2016,220021259
Central Intelligence,2016,216940871
Bridget Jones's Baby,2016,211952420
Me Before You,2016,208445075
London Has Fallen,2016,205754447
Arrival,2016,203388186
The BFG,2016,195243411
The Monkey King 2,2016,193678298
Bad Moms,2016,183936074
Storks,2016,183679278
From Vegas to Macau III,2016,181732879
Hacksaw Ridge,2016,180563636
Allegiant,2016,179246868
Operation Mekong,2016,173839072
The Girl on the Train,2016,173185859
The Huntsman: Winter's War,2016,164989338
The Magnificent Seven,2016,162360636
Jack Reacher: Never Go Back,2016,162146076
Don't Breathe,2016,157761002
The Accountant,2016,155560045
Lights Out,2016,149368835
Time Raiders,2016,145819137
Pete's Dragon,2016,143695338
Sausage Party,2016,140705322
Lion,2016,140312928
Skiptrace,2016,136579287
Mechanic: Resurrection,2016,125729635
Deepwater Horizon,2016,121790373
Allied,2016,119520023
I Belonged to You,2016,119107580
The Shallows,2016,119100758
The Purge: Election Year,2016,118587880
Why Him?,2016,118102725
Book of Love,2016,114679097
Office Christmas Party,2016,114501299
How to Be Single,2016,112543513
10 Cloverfield Lane,2016,110216998
Neighbors 2: Sorority Rising,2016,108007109
Cold War 2,2016,103197501
Railroad Tigers,2016,102205175
Some Like It Hot,2016,95721752
Dirty Grandpa,2016,94073028
Ben-Hur,2016,94061311
Money Monster,2016,93282604
Train to Busan,2016,92742323
My Big Fat Greek Wedding 2,2016,90632641
Collateral Beauty,2016,88616021
Line Walker,2016,88228755
Sultan,2016,87280000
War Dogs,2016,86434523
Big Fish & Begonia,2016,85409373
Nerve,2016,85251425
Leap!,2016,84197417
Ouija: Origin of Evil,2016,81705746
Underworld: Blood Wars,2016,81093313
Manchester by the Sea,2016,78988148
The Boss,2016,78844582
Shin Godzilla,2016,77947607
Mike and Dave Need Wedding Dates,2016,77068246
Kubo and the Two Strings,2016,76249438
Quo vado?,2016,75878701
Boo! A Madea Halloween,2016,74827344
Miracles from Heaven,2016,73983003
The Nice Guys,2016,71261763
I Am Not Madame Bovary,2016,70826207
See You Tomorrow,2016,70065569
One Piece Film: Gold,2016,66207073
Moonlight,2016,65172611
Monster Trucks,2016,64493915
Fences,2016,64414761
"Hail, Caesar!",2016,63647656
Huo guo ying xiong,2016,58106427
L.O.R.D: Legend of Ravaging Dynasties,2016,58089494
Nine Lives,2016,57814445
Zoolander 2,2016,56722693
Barbershop: The Next Cut,2016,55630051
The Age of Shadows,2016,54491162
A Chinese Odyssey: Part Three,2016,53306108
Tunnel,2016,52444295
Patriots Day,2016,52185751
My Beloved Bodyguard,2016,52165873
The Finest Hours,2016,52099090
Master,2016,51636415
Doraemon the Movie: Nobita and the Birth of Japan,2016,50939840
The Wailing,2016,49851770
Two Is a Family,2016,49619118
Never Gone,2016,48980792
Luck-Key,2016,48913975
Florence Foster Jenkins,2016,48902953
Mother's Day,2016,48782670
"Yo-kai Watch Movie: It's the Secret of Birth, Meow! 2016 Re-release",2016,47642462
A Monster Calls,2016,47309313
Risen,2016,46432579
Eddie the Eagle,2016,46152800
Blair Witch,2016,45173154
Boonie Bears: The Big Top Secret,2016,45150390
Café Society,2016,43763247
League of Gods,2016,43498766
Almost Christmas,2016,42580920
The Witch,2016,40423945
The Wild Life,2016,40075446
Love O2O,2016,39969537
The Forest,2016,39712000
Absolutely Fabulous: The Movie,2016,39219109
My Mom Is a Character 2,2016,39195565
Masterpiece Mystery: Sherlock: The Abominable Bride,2016,39139204
"Crouching Tiger, Hidden Dragon: Sword of Destiny",2016,38659039
Hell or High Water,2016,37879877
Mission Milano,2016,37749848
The Handmaiden,2016,37692886
Snowden,2016,37357216
Nobunaga Concerto: The Movie,2016,36187594
Eye in the Sky,2016,35259653
Les Tuche 2: The American Dream,2016,35210425
Os Dez Mandamentos - O Filme,2016,31998251
Bounty Hunters,2016,31918573
Ae Dil Hai Mushkil,2016,31668920
Assassination Classroom: The Graduation,2016,31352921
Perfect Strangers,2016,31254929
Billy Lynn's Long Halftime Walk,2016,30930984
Pandora,2016,30896701
Norm of the North,2016,30734502
When the Bough Breaks,2016,30658387
S Storm,2016,30381402
Nocturnal Animals,2016,30311857
A Silent Voice: The Movie,2016,30277098
Keeping Up with the Joneses,2016,29918745
Jackie,2016,29777777
Masterminds,2016,29674699
Flight Crew,2016,29171110
Viking,2016,29161298
M.S. Dhoni: The Untold Story,2016,28903047
Fan,2016,28240000
"Yôkai Watch: the Movie: The Flying Whale and the Grand Adventure of the Double Worlds, Meow!",2016,28110245
Welcome to Germany,2016,28036021
The Brothers Grimsby,2016,27979040
When Larry Meets Mary,2016,27863090
Yesterday Once More,2016,27413790
The Light Between Oceans,2016,25975621
A Beautiful Planet,2016,25730120
Mr. Donkey,2016,25537759
Born in China,2016,25081168
Race,2016,25070261
Call of Heroes,2016,25040561
Free State of Jones,2016,25035950
Whiskey Tango Foxtrot,2016,24972139
Soulmate,2016,24684439
The Snow Queen 3: Fire and Ice,2016,24644317
God's Not Dead 2,2016,24487848
Camping 3,2016,24224579
The Founder,2016,24121245
Bad Santa 2,2016,24079268
Spirits' Homecoming,2016,23857217
Silence,2016,23834809
Kevin Hart: What Now?,2016,23591043
No Manches Frida,2016,23540937
Middle School: The Worst Years of My Life,2016,23316139
Triple 9,2016,23177948
Rock Dog,2016,23139802
The Choice,2016,23064015
Penny Pincher!,2016,22955486
Star Wars: Episode VIII - The Last Jedi,2017,1332539889
Beauty and the Beast,2017,1263521126
The Fate of the Furious,2017,1236005118
Despicable Me 3,2017,1034799409
Jumanji: Welcome to the Jungle,2017,962077546
Spider-Man: Homecoming,2017,880166924
Wolf Warrior 2,2017,870325439
Guardians of the Galaxy Vol. 2,2017,863756051
Thor: Ragnarok,2017,853977126
Wonder Woman,2017,822963408
Coco,2017,807816196
Pirates of the Caribbean: Dead Men Tell No Tales,2017,794861794
It,2017,702781748
Justice League,2017,661324295
Logan,2017,619021436
Transformers: The Last Knight,2017,605425157
Kong: Skull Island,2017,568652812
The Boss Baby,2017,527965936
Dunkirk,2017,526045546
War for the Planet of the Apes,2017,490719763
The Greatest Showman,2017,434993183
Kingsman: The Golden Circle,2017,410902662
The Mummy,2017,409231607
Cars 3,2017,383930656
Fifty Shades Darker,2017,381545846
Murder on the Orient Express,2017,352789811
xXx: Return of Xander Cage,2017,346118277
Never Say Die,2017,334530869
The Lego Batman Movie,2017,312150384
The Ex-File 3: Return of the Exes,2017,307592427
Annabelle: Creation,2017,306592201
Wonder,2017,305937718
Ferdinand,2017,296069199
Split,2017,278454358
Blade Runner 2049,2017,259154159
Kung Fu Yoga,2017,257743016
Get Out,2017,255407969
Baahubali 2: The Conclusion,2017,254158390
Journey to the West: The Demons Strike Back,2017,247585244
Alien: Covenant,2017,240891763
Paddington 2,2017,227291591
Youth,2017,227091290
Baby Driver,2017,226945087
Valerian and the City of a Thousand Planets,2017,225874228
Geostorm,2017,221900160
The Emoji Movie,2017,217776646
A Dog's Purpose,2017,205035819
Smurfs: The Lost Village,2017,197183546
The Shape of Water,2017,195243464
Pitch Perfect 3,2017,185400345
The Hitman's Bodyguard,2017,183415183
Daddy's Home 2,2017,180613180
The Post,2017,179769457
Baywatch,2017,177856751
John Wick: Chapter 2,2017,171539887
Ghost in the Shell,2017,169801921
"Three Billboards Outside Ebbing, Missouri",2017,160060063
Duckweed,2017,152894264
Darkest Hour,2017,150847207
King Arthur: Legend of the Sword,2017,149175066
The Foreigner,2017,145374099
Power Rangers,2017,142337240
Girls Trip,2017,140552359
American Made,2017,134866593
A Bad Moms Christmas,2017,130560428
Happy Death Day,2017,125479266
Captain Underpants: The First Epic Movie,2017,125427681
The Lego Ninjago Movie,2017,123681555
Secret Superstar,2017,122026260
The Commuter,2017,119942387
Forever Young,2017,119055731
The Dark Tower,2017,113231078
Buddies in India,2017,110155128
Along With the Gods: The Two Worlds,2017,109383972
Immortal Demon Slayer,2017,103818506
Jigsaw,2017,102952888
Life,2017,100541806
Atomic Blonde,2017,100014025
Legend of the Demon Cat,2017,97051623
The Shack,2017,96942115
Chasing the Dragon,2017,87965942
Tiger Zinda Hai,2017,87320000
A Taxi Driver,2017,86252940
Going in Style,2017,85218541
Rings,2017,83080890
Once Upon A Time,2017,82886178
Paradox,2017,79226860
Lady Bird,2017,78965611
Fantastica: A Boonie Bears Adventure,2017,77151096
The Nut Job 2: Nutty by Nature,2017,68743485
American Assassin,2017,67234188
Victoria & Abdul,2017,66558465
Suck Me Shakespeer 3,2017,64236772
Detective Conan: Crimson Love Letter,2017,63144805
The Mountain Between Us,2017,62832209
The Star,2017,62812974
How to Be a Latin Lover,2017,62547032
47 Meters Down,2017,62187529
"Everything, Everything",2017,61721140
Doraemon: Great Adventure in the Antarctic Kachi Kochi,2017,61153455
Snatched,2017,60845711
The Founding of an Army,2017,60600361
My Little Pony: The Movie,2017,60330833
Molly's Game,2017,59284015
Xian yi ren X de xian shen,2017,59035664
Shock Wave,2017,58824459
Goldbuster,2017,57628292
All the Money in the World,2017,56996304
The Big Sick,2017,56411585
Confidential Assignment,2017,55972241
All Eyez on Me,2017,55668698
Downsizing,2017,55003890
"I, Tonya",2017,53939297
1987: When the Day Comes,2017,53834292
The Outlaws,2017,52946454
Bleeding Steel,2017,48825526
Logan Lucky,2017,48453605
Boo 2! A Madea Halloween,2017,48333932
Sky Hunter,2017,48065601
Phantom Thread,2017,47756590
Rough Night,2017,47347283
Son of Bigfoot,2017,47046281
Three Seconds,2017,46596415
The Thousand Faces of Dunjia,2017,46263237
The Battleship Island,2017,46183383
Hanson and the Beast,2017,46154323
Gintama Live Action the Movie,2017,45746967
Guilty of Mind,2017,45698503
Flatliners,2017,45158254
Bad Genius,2017,44560421
Mother!,2017,44516999
Wind River,2017,43980821
Battle of Memories,2017,43892362
The Snowman,2017,43155261
Gifted,2017,43046590
Loving Vincent,2017,42187665
Call Me by Your Name,2017,42112584
Mary and the Witch's Flower,2017,41978431
T2 Trainspotting,2017,41681746
Fist Fight,2017,41187017
The Circle,2017,40656399
Diary of a Wimpy Kid: The Long Haul,2017,40140972
Brotherhood of Blades 2,2017,39966092
Midnight Runners,2017,39730433
The King,2017,37886707
Pokémon the Movie: I Choose You!,2017,37552144
Home Again,2017,37270721
The Adventurers,2017,36796816
"Tad, the Lost Explorer, and the Secret of King Midas",2017,35704046
Hostiles,2017,35669017
Namiya,2017,35351623
Destiny: The Tale of Kamakura,2017,35166640
The Liquidator,2017,35046130
Kidnap,2017,34814102
R.A.I.D. Special Unit,2017,34598750
The House,2017,34284504
I Want to Eat Your Pancreas,2017,33748006
Perfect Strangers,2017,33262366
Sleepless,2017,32917353
Hindi Medium,2017,32841493
Steel Rain,2017,32783733
The House That Never Dies II,2017,32433588
The Invisible Guest,2017,31191910
This Is Not What I Expected,2017,30996615
The Last Warrior,2017,30618274
Reset 2017 Re-release,2017,29949252
The Bye Bye Man,2017,29874280
The Disaster Artist,2017,29820616
The Swindlers,2017,29721916
Alibi.com,2017,29370592
Sword Art Online the Movie: Ordinal Scale,2017,29322339
Recep Ivedik 5,2017,28952258
Judwaa 2,2017,28733523
The Fortress,2017,28645448
What Happened to Monday,2017,27975429
